method,epoch,dataset,timestamp,train_loss,train_acc,train_acc_top5,train_f1_macro,train_prec_macro,train_rec_macro,train_acc_up,test_loss,test_acc,test_acc_top5,test_f1_macro,test_prec_macro,test_rec_macro,test_acc_up
OURS,41.0,MARC-specific,2020-07-05 19:07:50.701181,0.09659797721405573,1.0,1.0,1.0,1.0,1.0,0.0,0.12457032886519494,0.994261119081779,0.9971305595408895,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,42.0,MARC-specific,2020-07-05 19:07:58.726978,0.0951801032315874,1.0,1.0,1.0,1.0,1.0,0.0,0.12523208028360283,0.9928263988522238,0.9985652797704447,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,43.0,MARC-specific,2020-07-05 19:08:06.799960,0.09527415359325513,1.0,1.0,1.0,1.0,1.0,0.0,0.124308144430519,0.9928263988522238,0.9985652797704447,0.9890802346760895,0.9881692573402416,0.9914877868245744,0.0
OURS,44.0,MARC-specific,2020-07-05 19:08:14.879151,0.09659683758801117,1.0,1.0,1.0,1.0,1.0,0.0,0.1263682641292063,0.9928263988522238,0.9985652797704447,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,45.0,MARC-specific,2020-07-05 19:08:22.961818,0.09531484020672157,1.0,1.0,1.0,1.0,1.0,0.0,0.12668556962670008,0.9913916786226685,0.9985652797704447,0.9872768567069086,0.9873056994818652,0.9893288921786331,0.0
OURS,46.0,MARC-specific,2020-07-05 19:08:31.116927,0.09385178358263573,1.0,1.0,1.0,1.0,1.0,0.0,0.12501971992307276,0.994261119081779,0.9985652797704447,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,47.0,MARC-specific,2020-07-05 19:08:39.274004,0.09526025714066527,1.0,1.0,1.0,1.0,1.0,0.0,0.1234707277551443,0.9928263988522238,0.9971305595408895,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,48.0,MARC-specific,2020-07-05 19:08:47.483602,0.09296389402685598,1.0,1.0,1.0,1.0,1.0,0.0,0.12260913087784646,0.994261119081779,0.9985652797704447,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,49.0,MARC-specific,2020-07-05 19:08:55.650132,0.09319698412712635,1.0,1.0,1.0,1.0,1.0,0.0,0.12649701178672496,0.994261119081779,0.9971305595408895,0.9906922093450591,0.9896373056994818,0.9927831236121392,0.0
OURS,50.0,MARC-specific,2020-07-05 19:09:03.839884,0.09381225945367021,1.0,1.0,1.0,1.0,1.0,0.0,0.12090151230009591,0.994261119081779,0.9971305595408895,0.9906922093450591,0.9896373056994818,0.9927831236121392,0.0
OURS,51.0,MARC-specific,2020-07-05 19:09:11.921938,0.09281837082554771,1.0,1.0,1.0,1.0,1.0,0.0,0.12348737812452713,0.9928263988522238,0.9971305595408895,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,52.0,MARC-specific,2020-07-05 19:09:20.073221,0.09259654747323766,1.0,1.0,1.0,1.0,1.0,0.0,0.12480852982748188,0.9928263988522238,0.9971305595408895,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,53.0,MARC-specific,2020-07-05 19:09:28.111993,0.09199440162738365,1.0,1.0,1.0,1.0,1.0,0.0,0.1220647048317377,0.9928263988522238,0.9985652797704447,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,54.0,MARC-specific,2020-07-05 19:09:36.238223,0.09170127334737858,1.0,1.0,1.0,1.0,1.0,0.0,0.12254862181596468,0.994261119081779,0.9971305595408895,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,55.0,MARC-specific,2020-07-05 19:09:44.320221,0.09105595168098495,1.0,1.0,1.0,1.0,1.0,0.0,0.12080867289214087,0.994261119081779,0.9985652797704447,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,56.0,MARC-specific,2020-07-05 19:09:52.470818,0.09258901037582322,1.0,1.0,1.0,1.0,1.0,0.0,0.1220444735871839,0.994261119081779,0.9985652797704447,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,57.0,MARC-specific,2020-07-05 19:10:00.612992,0.09241227258237643,1.0,1.0,1.0,1.0,1.0,0.0,0.12571248745644623,0.994261119081779,0.9985652797704447,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,58.0,MARC-specific,2020-07-05 19:10:08.744844,0.09144967881998628,1.0,1.0,1.0,1.0,1.0,0.0,0.12460217653764372,0.9913916786226685,0.9985652797704447,0.9872768567069086,0.9873056994818652,0.9893288921786331,0.0
OURS,59.0,MARC-specific,2020-07-05 19:10:16.842684,0.0925890084865912,1.0,1.0,1.0,1.0,1.0,0.0,0.1210964371475633,0.994261119081779,0.9985652797704447,0.9906922093450591,0.9896373056994818,0.9927831236121392,0.0
OURS,60.0,MARC-specific,2020-07-05 19:10:24.958189,0.09076707322216154,1.0,1.0,1.0,1.0,1.0,0.0,0.11898979127749137,0.994261119081779,0.9971305595408895,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,61.0,MARC-specific,2020-07-05 19:10:33.094805,0.09067096642518023,1.0,1.0,1.0,1.0,1.0,0.0,0.12097992922260908,0.9928263988522238,0.9971305595408895,0.9887841576960748,0.9881692573402416,0.9910560078953861,0.0
OURS,62.0,MARC-specific,2020-07-05 19:10:41.235356,0.09079532248947822,1.0,1.0,1.0,1.0,1.0,0.0,0.12161109873348877,0.994261119081779,0.9971305595408895,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
OURS,63.0,MARC-specific,2020-07-05 19:10:49.423926,0.09086836527291714,1.0,1.0,1.0,1.0,1.0,0.0,0.11727574504003292,0.994261119081779,0.9985652797704447,0.9908566965561784,0.9898963730569948,0.9927831236121392,0.0
OURS,64.0,MARC-specific,2020-07-05 19:10:57.553445,0.08899986755812898,1.0,1.0,1.0,1.0,1.0,0.0,0.12001723728785385,0.994261119081779,0.9971305595408895,0.9903961323650442,0.9892055267702936,0.9927831236121392,0.0
